MACHINE_ID,DURATION,TARGET_DURATION,SHOT_TIME,VOLUME,VENDOR_NAME,SENSOR_CODE,PRODUCT_NAME,TYPE,STATUS,SENSOR_ID,TOOL_ID,VENDOR_ID,PRODUCT_ID,UPLOAD_TIME,PROCESSING_DATE
MX-7101,28.9,28.4,2026-08-18 08:00:00,1,NORDPLAST INDUSTRIES,CNT-88200,Door Handle Carrier,Injection Molding,active,88200,4100,700,1,2026-08-18 09:00:00,2026-08-18
MX-7101,29.1,28.4,2026-08-18 08:00:29,1,NORDPLAST INDUSTRIES,CNT-88200,Door Handle Carrier,Injection Molding,active,88200,4100,700,1,2026-08-18 09:00:00,2026-08-18
MX-7101,28.7,28.4,2026-08-18 08:00:58,1,NORDPLAST INDUSTRIES,CNT-88200,Door Handle Carrier,Injection Molding,active,88200,4100,700,1,2026-08-18 09:00:00,2026-08-18
MX-7103,32.5,26.8,2026-08-18 08:01:00,1,MERIDIAN TOOLING,CNT-88202,Coolant Reservoir Cap,Injection Molding,active,88202,4102,702,4,2026-08-18 09:00:00,2026-08-18
MX-7103,33.1,26.8,2026-08-18 08:01:27,1,MERIDIAN TOOLING,CNT-88202,Coolant Reservoir Cap,Injection Molding,active,88202,4102,702,4,2026-08-18 09:00:00,2026-08-18
MX-7103,31.8,26.8,2026-08-18 08:01:54,1,MERIDIAN TOOLING,CNT-88202,Coolant Reservoir Cap,Injection Molding,active,88202,4102,702,4,2026-08-18 09:00:00,2026-08-18
MX-7104,46.2,45.5,2026-08-18 08:02:00,1,NORDPLAST INDUSTRIES,CNT-88203,Gearbox End Cover,Die Casting,active,88203,4103,700,6,2026-08-18 09:00:00,2026-08-18
MX-7104,46.8,45.5,2026-08-18 08:02:46,1,NORDPLAST INDUSTRIES,CNT-88203,Gearbox End Cover,Die Casting,active,88203,4103,700,6,2026-08-18 09:00:00,2026-08-18
MX-7107,8.9,8.8,2026-08-18 08:03:00,1,NORDPLAST INDUSTRIES,CNT-88206,Bracket Reinforcement,Stamping,active,88206,4106,700,8,2026-08-18 09:00:00,2026-08-18
MX-7107,8.8,8.8,2026-08-18 08:03:09,1,NORDPLAST INDUSTRIES,CNT-88206,Bracket Reinforcement,Stamping,active,88206,4106,700,8,2026-08-18 09:00:00,2026-08-18
